Saint ID,Name,Also Known As,Gender,Rank / Type,Church Status,Family / Life State,Vocation,Life Experience,Virtue,Commonly Asked Intercessions,Region of Origin,Tradition of Veneration,Era,Century,Feast Day(s),Short Prayer (Intercession),Hymn / Apolytikion,Icon,Brief Life,Notes,Customs & Traditions,Works by the Saint,Works About the Saint,Video / Media,Sources
OS-0959,Martyr Calliopius at Pompeiopolis in Cilicia,Calliopius; Kalliopios,Male,Martyr,Layperson,Single Adult,,Persecution; Torture,Faith; Courage,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Apr 7,"Holy Martyr Calliopius, pray to God for us.",,,"Born in Perge of Pamphylia to the pious widow Theoklia, wife of a senator, he was dedicated to God and suffered martyrdom for Christ at Pompeiopolis in Cilicia.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0960,"Martyrs Rufinus the Deacon, Aquilina, and 200 Soldiers at Sinope",Rufinus the Deacon; Aquilina; the Two Hundred Soldiers of Sinope,Male & Female,Martyr,,,,Persecution; Torture,Faith; Courage,,Asia Minor,Pan-Orthodox,Pre-Nicene,4th,Apr 7,"Holy Martyrs, pray to God for us.",,,"Rufinus a deacon, the woman Aquilina, and two hundred soldiers who confessed Christ and were martyred together at Sinope during the persecution under Maximinus Daia around 306.",Named cluster commemorated as one; Rufinus was a deacon.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0961,Apostle Herodion of the Seventy,Herodion; Agabus; Rufus; Asyncritus; Phlegon; Hermes; Apostles of the Seventy,Male,Apostle; Missionary,Clergy - Bishop,,,Persecution,Faith,Missionary Work,Asia Minor,Pan-Orthodox,Apostolic Age,1st,Apr 8,"Holy Apostles Herodion and those with you, pray to God for us.",,,"A group of Apostles of the Seventy commemorated together: Herodion (a kinsman and companion of the Apostle Paul), Agabus the prophet, Rufus, Asyncritus, Phlegon, and Hermes. They preached the Gospel in various lands and several died as martyrs.",Also commemorated among the Synaxis of the Seventy Apostles (Jan 4).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0962,"Saint Niphon, Bishop of Novgorod",,Male,Hierarch,Clergy - Bishop,,,,Obedience,,Rus' / Russia,Russian,Byzantine,12th,Apr 8,"Holy Hierarch Niphon, pray to God for us.",,,"A monk of the Kiev Caves Monastery known for ascetic struggle, he was consecrated Bishop of Novgorod and defended the unity and order of the Church in 12th-century Rus'.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0963,Venerable Rufus the Obedient of the Kiev Caves,,Male,Venerable (Monastic),Monastic,,,,Obedience,,Rus' / Russia,Russian,Byzantine,14th,Apr 8; Aug 28,"Venerable Father Rufus, pray to God for us.",,,"A hermit of the Kiev Caves distinguished for obedience, labor, and strict fasting. He reposed and was buried in the Far Caves.",Also commemorated Aug 28 with the Synaxis of the Saints of the Kiev Far Caves.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0964,Martyr Pausilippus of Heraclea in Thrace,Pausilippus,Male,Martyr,Layperson,,,Persecution; Torture,Faith,,Constantinople,Pan-Orthodox,Pre-Nicene,2nd,Apr 8,"Holy Martyr Pausilippus, pray to God for us.",,,"Denounced as a Christian under the Emperor Hadrian, he endured beatings and persecution yet remained steadfast in confessing Christ.",Suffered at Heraclea in Thrace (region near Constantinople); no exact Thrace region term in the controlled vocabulary.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0965,"Saint Celestine, Pope of Rome",Celestine I,Male,Hierarch,Clergy - Bishop,,Scholar,,Faith,Missionary Work,Italy / Rome,Western (pre-schism),Byzantine,5th,Apr 8,"Holy Hierarch Celestine, pray to God for us.",,,"Pope of Rome (422-432), a learned defender of Orthodoxy who supported the condemnation of Nestorius at the Council of Ephesus and sent missionaries, including Palladius, to Ireland and Britain.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0966,Martyr Eupsychius of Caesarea,Eupsychios of Caesarea,Male,Martyr,Layperson,Married,,Persecution; Torture,Courage; Faith,,Asia Minor,Pan-Orthodox,Byzantine,4th,Apr 9,"Holy Martyr Eupsychius, pray to God for us.",,,"A Christian of Caesarea in Cappadocia who, during the reign of Julian the Apostate, took part in destroying a pagan temple and was tortured and beheaded for his confession of Christ.",Distinct from the 2nd-century Martyr Eupsychios of Caesarea (feast Sep 7); this is the 4th-century martyr under Julian the Apostate.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0967,Hieromartyr Desan of Persia and Companions,"Desan, Bishop of Persia; Mariabus the Presbyter; Abdiesus; the 270 (272) Martyrs of Persia",Male & Female,Hieromartyr; Martyr,Clergy - Bishop,,,Persecution; Imprisonment; Torture,Faith; Courage,,Persia,Pan-Orthodox,Byzantine,4th,Apr 9,"Holy Hieromartyr Desan and Companions, pray to God for us.",,,"Bishop Desan of Persia, the presbyter Mariabus, Abdiesus, and a large company of about 270 captive Christians were imprisoned and put to death under Shah Sapor (Shapur) II for refusing to renounce Christ.",Listed in the synaxarion as a single commemoration of Bishop Desan together with his companions and the some 270 (or 272) who suffered with them.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0968,Venerable-Martyr Bademus of Persia,Bademus; Vadim; Bademus the Archimandrite,Male,Venerable-Martyr; Venerable (Monastic),Monastic,,,Persecution; Wealth; Imprisonment; Torture,Charity; Courage,,Persia,Pan-Orthodox,Byzantine,4th,Apr 9,"Holy Venerable-Martyr Bademus, pray to God for us.",,,"Born to a wealthy family in the Persian city of Bithlapata, Bademus renounced his possessions, founded a monastery, and lived as its archimandrite; imprisoned under Sapor II, he was slain for refusing to deny Christ.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0969,Hierarch Acacius of Amida,Acatius of Amida,Male,Hierarch,Clergy - Bishop,,,,Charity; Mercy,,Mesopotamia,Pan-Orthodox,Byzantine,5th,Apr 9,"Holy Hierarch Acacius, pray to God for us.",,,"Bishop of Amida in Mesopotamia in the fifth century who melted down and sold his church's gold and silver vessels to ransom Persian prisoners of war, feeding them and sending them home, an act of charity that moved the Persian king to relent in his persecution of Christians.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0970,The Martyrs in Africa,The Massylitan Martyrs; Martyrs of Masyla in Africa,Male & Female,Martyr,,,,Persecution,Faith; Courage,,North Africa,Pan-Orthodox,Pre-Nicene,4th,Apr 9,"Holy Martyrs of Africa, pray to God for us.",,,"A company of martyrs of Masyla in North Africa, on whose feast Saint Augustine is recorded to have preached; their names and the precise account of their suffering are not preserved.",Honest stub; the synaxarion preserves the commemoration but few details. Century approximate.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0971,"New Martyrs Raphael, Nicholas and Irene of Lesbos",Raphael of Lesbos; Nicholas of Lesbos; Irene of Lesbos; Eleni (Susanna) of Lesbos,Male & Female,New Martyr,,Child,,Persecution; Torture,Faith; Courage,,Greece,Greek,Post-Byzantine,15th,Apr 9,"Holy New Martyrs Raphael, Nicholas and Irene, pray to God for us.",,,"Saint Raphael, an abbot, the deacon Nicholas, and the young girl Irene, together with her family, were tortured and slain by the Turks on Bright Tuesday in 1463 on the island of Lesbos; forgotten for nearly five centuries, they were rediscovered in the twentieth century through visions and relics.","Their principal commemoration falls on Bright Tuesday (movable); the fixed date Apr 9 is also kept. Eleni (Susanna), said to be a cousin of Saint Irene, is commemorated with them.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0972,"Martyrs James the Presbyter, and Azadanes and Abdiesus the Deacons, of Persia",Jacob the Presbyter; Azadanes; Abdicius; Abdiesus,Male,Hieromartyr,Clergy - Priest,,,Torture; Persecution,Faith; Perseverance,,Persia,Pan-Orthodox,Byzantine,4th,Apr 10,"Holy Hieromartyr James and companions, pray to God for us.",,,"A priest and two deacons of the Church in Persia who were arrested with Bishop Akepsimas and endured severe tortures for confessing Christ during the persecution under Shapur II, around the year 380.","Arrested together with Bishop Akepsimas, whose principal feast (with the martyrs Joseph and Aithalas) is Nov 3.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0973,Martyrs of the Kvabtakhevi Monastery in Georgia,The Monk-Martyrs of Kvabtakhevi,Male & Female,Venerable-Martyr,Monastic,,,Torture; Persecution,Faith; Courage,,Georgia,Georgian,Byzantine,14th,Apr 10,"Holy Martyrs of Kvabtakhevi, pray to God for us.",,,Monastics and faithful of the Kvabtakhevi Monastery in Georgia who were slain when the armies of Tamerlane invaded and devastated the country's churches and monasteries during the reign of King Bagrat V.,Collective martyrdom commemorated as one feast; a named cluster of monastic martyrs.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0974,"Hieromartyr Gregory V, Patriarch of Constantinople",Gregory V of Constantinople; Gregorios E,Male,New Martyr; Hieromartyr,Clergy - Bishop,,,Persecution,Courage; Faith; Patience,,Greece,Greek,Modern,19th,Apr 10,"Holy Hieromartyr Gregory, pray to God for us.",,,"Ecumenical Patriarch of Constantinople, born in Dimitsana in the Peloponnese in 1746. He was hanged at the gate of the Patriarchate on Pascha 1821 in Ottoman reprisal during the Greek War of Independence, and is venerated as a hieromartyr and ethnomartyr.",Glorified as a saint by the Church of Greece; venerated as a hieromartyr/ethnomartyr. CANONIZATION NOTE: a modern (1821) Greek martyr — flagged for clergy/source review per guardrails.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; Wikipedia, Gregory V of Constantinople"
OS-0975,Hieromartyr Antipas of Pergamum,"Antipas of Pergamum; Saint Antipas; Antipas, Bishop of Pergamum",Male,Hieromartyr,Clergy - Bishop,,,Persecution,Faith,Healing,Asia Minor,Pan-Orthodox,Apostolic Age,1st,Apr 11,"Holy Hieromartyr Antipas, pray to God for us.",,,"A disciple of Saint John the Theologian, Antipas served as bishop of Pergamum during the persecution under Nero and was martyred for refusing to offer sacrifice to idols.",Mentioned in Revelation 2:13 as Christ's faithful witness. Widely invoked for the healing of toothache and dental ailments.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0976,Venerable James of Zheleznoborov,"James of Zheleznoborov; Iakov of Zheleznoborov; James, Abbot of Zheleznoborov",Male,Venerable (Monastic),Clergy - Priest; Monastic,,,,Humility,,Rus' / Russia,Russian,Byzantine,15th,Apr 11,"Venerable Father James, pray to God for us.",,,"Born into a noble family in the late 14th century, he became a disciple of Saint Sergius of Radonezh and founded a monastic community at Zheleznoborov near Galich in the Kostroma region.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0977,Saint Barsanuphius of Tver,"Barsanuphius of Tver; Varsonofy of Tver; Barsanuphius, Bishop of Tver",Male,Hierarch,Clergy - Bishop; Monastic,,,Captivity,Patience,,Rus' / Russia,Russian,Post-Byzantine,16th,Apr 11; Oct 4,"Holy Hierarch Barsanuphius, pray to God for us.",,,"Born in 1495 in Serpukhov, he was taken captive by Crimean Tatars in his youth, later became a monk, and served as bishop of Tver.",Principal feast (with St Gurias of Kazan) is observed Oct 4; also commemorated among the Kazan hierarchs. Oct 4 = uncovering of his relics at Kazan (1595).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0978,Martyrs Processus and Martinian of Rome,Processus; Martinian; Processus and Martinian,Male,Martyr,Convert,,,Imprisonment,Faith,,Italy / Rome,Western (pre-schism),Apostolic Age,1st,Apr 11,"Holy Martyrs Processus and Martinian, pray to God for us.",,,Pagan guards at the Mamertine prison in Rome who were converted through the witness of the Christians held there and were themselves martyred for the faith.,Also commemorated in the Western calendar on Jul 2.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0979,Venerable Pharmuthius the Anchorite of Egypt,Pharmuthius; Pharmuthius the Anchorite,Male,Hermit,Monastic,,,,Charity,,Egypt,Pan-Orthodox,Pre-Nicene,4th,Apr 11,"Venerable Father Pharmuthius, pray to God for us.",,,"A desert anchorite of fourth-century Egypt who carried food to Saint John, an ascetic dwelling in a well at the same desert.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0980,Venerable John the Disciple of Gregory of Decapolis,"John, Disciple of Gregory of Decapolis",Male,Venerable (Monastic),Monastic,,,,Obedience,,Asia Minor,Pan-Orthodox,Byzantine,9th,Apr 11; Apr 18,"Venerable Father John, pray to God for us.",,,"A monastic disciple of Saint Gregory the Decapolite, with whom he shared the ascetic life.",His fuller commemoration is noted on Apr 18.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0981,Saint Callinicus of Cernica,"Callinicus of Cernica; Calinic of Cernica; Callinicus, Bishop of Ramnicu Valcea",Male,Hierarch,Clergy - Bishop; Monastic,,,,Humility,,Romania,Romanian,Modern,19th,Apr 11,"Holy Hierarch Callinicus, pray to God for us.",,,"Born in Bucharest in 1787, he was a monk and abbot of Cernica Monastery and later served as bishop of Ramnicu Valcea in Romania.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0982,Saint Basil the Confessor,Basil of Parium,Male,Confessor; Hierarch,Clergy - Bishop; Monastic,,,Persecution,Faith; Courage,,Asia Minor,Pan-Orthodox,Byzantine,8th,Apr 12,"Holy Hierarch Basil, pray to God for us.",,,Bishop of Parium who firmly defended the veneration of holy icons during the Iconoclast persecution and suffered for refusing to sign an edict against them.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0983,Hieromartyr Zeno of Verona,Zeno of Verona,Male,Hieromartyr; Hierarch,Clergy - Bishop,,Teacher,Persecution,Faith,,North Africa,Western (pre-schism); Pan-Orthodox,Pre-Nicene,4th,Apr 12,"Holy Hieromartyr Zeno, pray to God for us.",,,A native of North Africa who became Bishop of Verona in Italy and shepherded his flock through times of persecution; some accounts honor him as a martyr.,Martyrdom is attested by some sources and disputed by others; OCA titles him Hieromartyr. Reposed c. 371.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0984,Saint Isaac the Syrian of Spoleto,Isaac of Spoleto; Isaac the Syrian Abbot of Spoleto,Male,Venerable (Monastic); Wonderworker,Monastic,,,Exile,Humility; Self-Control,,Syria,Western (pre-schism); Pan-Orthodox,Byzantine,6th,Apr 12,"Venerable Father Isaac, pray to God for us.",,,"A Syrian monk who fled persecution and settled near Spoleto in Italy, where he founded a monastery and was renowned for ascetic labors and miracles.",Distinct from St Isaac the Syrian of Nineveh (the ascetical writer).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0985,"Monastic Martyrs Menas, David, and John of Palestine",Menas of Palestine; David of Palestine; John of Palestine,Male,Venerable-Martyr,Monastic,,,Persecution; Torture,Faith; Courage,,Palestine / Holy Land,Pan-Orthodox,Byzantine,7th,Apr 12,"Holy Monastic Martyrs Menas, David, and John, pray to God for us.",,,"Three Palestinian monks who were shot with arrows by Arab raiders following the fall of Jerusalem, receiving the crown of martyrdom.",Listed as a single commemoration of three named martyrs.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0986,Venerable Anthusa of Constantinople,Anthousa; Anthusa,Female,Venerable (Monastic),Monastic,Single Adult,,Persecution,Humility; Patience,,Constantinople,Pan-Orthodox,Byzantine,8th,Apr 12,"Venerable Mother Anthusa, pray to God for us.",,,"A daughter of the Iconoclast emperor Constantine Copronymus who renounced royal life to become a nun, enduring her father's hostility while remaining steadfast in venerating the holy icons.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0987,Venerable Athanasia of Aegina,"Athanasia, Abbess of Aegina",Female,Venerable (Monastic); Wonderworker,Monastic,Widowed; Married,,Widowhood,Charity; Humility; Hospitality,,Greece,Pan-Orthodox,Byzantine,9th,Apr 12,"Venerable Mother Athanasia, pray to God for us.",,,"A pious Greek woman, twice widowed, who became a nun and later abbess of a monastery on the island of Aegina, renowned for her charity, austerity, and miracles after her repose.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0988,Venerable Acacius the Younger of Mount Athos,Acacius of Kavsokalyvia; New Acacius,Male,Venerable (Monastic); Ascetic,Monastic,,,,Humility; Obedience; Self-Control,,Mt. Athos,Greek; Pan-Orthodox,Post-Byzantine,18th,Apr 12,"Venerable Father Acacius, pray to God for us.",,,"An ascetic of Mount Athos who lived at the Kavsokalyvia skete near the cell of Saint Maximus, attaining a great old age through a life of strict asceticism and prayer.","Reposed April 12, 1730; this date is his feast.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0989,"Martin the Confessor, Pope of Rome","Martin I; Martin the Confessor, Pope of Rome",Male,Confessor; Hierarch,Clergy - Bishop,,,Exile; Persecution; Imprisonment,Courage; Faith; Perseverance,,Italy / Rome,Pan-Orthodox; Western (pre-schism),Byzantine,7th,Apr 13; Apr 14,"Holy Hierarch Martin, pray to God for us.",,,"Pope of Rome who convened the Lateran Council of 649 and condemned the Monothelite heresy, rejecting the imperial Ecthesis and Typos. Arrested by order of the emperor, he was tried and exiled to Cherson, where he died in 655 a confessor for the Orthodox faith.",Byzantine-rite feast is principally Apr 14; the Apr 13 commemoration is listed in the OCA/Western reckoning. The last Pope of Rome venerated as a confessor for the faith.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0990,Hieromartyr Artemon of Laodicea,Artemon of Laodikeia; Artemon the Presbyter,Male,Hieromartyr,Clergy - Priest,,,Torture; Persecution,Zeal; Faith; Courage,,Syria,Pan-Orthodox,Pre-Nicene,4th,Apr 13,"Holy Hieromartyr Artemon, pray to God for us.",,,"Presbyter of Laodicea in Syria who served as a reader for sixteen years before his ordination. Renowned for his zeal in destroying idols and preaching Christ, he was seized and martyred during the persecution of Diocletian.","Distinct from Artemon, Bishop of Seleucia (Mar 24).",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0991,Martyr Crescens of Myra,Crescens of Myra in Lycia,Male,Martyr,Layperson,,,Torture; Persecution,Courage; Faith,,Asia Minor,Pan-Orthodox,Pre-Nicene,3rd,Apr 13,"Holy Martyr Crescens, pray to God for us.",,,"A man of illustrious family in Myra of Lycia who openly preached against paganism and urged his fellow citizens to turn to Christ. Brought before the prefect, he confessed his faith and was put to death by fire.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0992,Martyr Thomais of Alexandria,Thomais of Alexandria; Thomaida,Female,Martyr,Layperson,Married,,Temptation; Torture,Purity; Self-Control; Courage,,Egypt,Pan-Orthodox,Byzantine,5th,Apr 13; Apr 14,"Holy Martyr Thomais, pray to God for us.",,,"A young Christian woman of Alexandria, raised in piety and married to a fisherman, who was slain for refusing the unchaste advances of her father-in-law. She is venerated as a protector against the assaults of unclean passions.",Commemorated Apr 13 (and Apr 14 in some calendars). Invoked for help in struggles against carnal temptation.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0993,"Martyrs Maximus, Quintilian and Dadas",Maximus; Quintilian; Quintillian; Dadas; Martyrs of Ozovia,Male,Martyr,Layperson,,,Torture; Persecution,Faith; Courage; Perseverance,,Greece,Pan-Orthodox,Pre-Nicene,4th,Apr 13; Apr 28,"Holy Martyrs Maximus, Quintilian and Dadas, pray to God for us.",,,"Three martyrs who suffered at Ozovia in Macedonia during the persecution under the emperors Diocletian and Maximian. Refusing to sacrifice to the idols, they confessed Christ and were beheaded.","Suffered at Ozovia in Macedonia; no Macedonia region term in the controlled vocabulary, so Greece is used as the nearest. Also commemorated Apr 28 as the Martyrs of Dorostolum in Moesia.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-0994,"Martyrs Anthony, John, and Eustathius of Vilnius",Anthony of Vilnius; John of Vilnius; Eustathius of Vilnius; Martyrs of Vilna; Kruglec; Kumets; Nezhilo,Male,Martyr,,,,Persecution; Torture,Courage; Faith; Perseverance,,Baltics,Russian,Byzantine,14th,Apr 14,"Holy Martyrs Anthony, John, and Eustathius, pray to God for us.",,,"Three kinsmen at the court of the Lithuanian Great Prince Algirdas in Vilnius who embraced Christianity and refused to return to pagan customs. For confessing Christ they were imprisoned and hanged in 1347, becoming the first martyrs of Lithuania.",One row for the named cluster of three; individual names listed in Also Known As.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0995,Martyr Ardalion the Actor,Ardalion,Male,Martyr,,,Artist,Repentance from grave sin; Torture,Repentance; Faith; Courage,,,Pan-Orthodox,Pre-Nicene,4th,Apr 14,"Holy Martyr Ardalion, pray to God for us.",,,"An actor who, while mockingly portraying a Christian on stage during the persecutions of the early fourth century, was moved to declare that he truly was a Christian. He confessed Christ before the crowd and was martyred.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0996,Martyr Azades the Eunuch,Azades; Azat,Male,Martyr,Layperson,,Servant / Slave,Persecution; Torture,Faith; Courage,,Persia,Pan-Orthodox,Pre-Nicene,4th,Apr 14,"Holy Martyr Azades, pray to God for us.",,,"A wealthy eunuch in the household of King Shapur II of Persia who was put to death for confessing Christ, together with a thousand other Christians during the great Persian persecution.","Commemorated with the 1,000 Martyrs of Persia.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0997,"Apostles Aristarchus, Pudens, and Trophimus of the Seventy",Aristarchus; Pudens; Pudis; Trophimus; Apostles of the Seventy,Male,Apostle; Hieromartyr,Clergy - Bishop,,,Persecution; Torture,Faith; Zeal; Courage,Missionary Work,,Pan-Orthodox,Apostolic Age,1st,Apr 14; Apr 15,"Holy Apostles Aristarchus, Pudens, and Trophimus, pray to God for us.",,,Three of the Seventy Apostles and companions of the Apostle Paul who labored with him in preaching the Gospel and shared in his sufferings. According to tradition they were beheaded at Rome during the persecution of Nero.,"Named cluster; also commemorated among the Synaxis of the Seventy Apostles (Jan 4), and listed Apr 14 or Apr 15 in some calendars. Aristarchus is additionally commemorated Sep 27.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints; orthodoxwiki.org"
OS-0998,Martyrs Basilissa and Anastasia of Rome,Basilissa; Anastasia,Female,Martyr,Layperson,,,Persecution; Torture,Faith,,Italy / Rome,Pan-Orthodox,Apostolic Age,1st,Apr 15,"Holy Martyrs Basilissa and Anastasia, pray to God for us.",,,"Roman women converted to Christianity by the Apostles Peter and Paul, they devoted themselves to caring for the bodies of the martyrs during Nero's persecution. For their confession of Christ they were tortured and put to death at Rome.",,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-0999,Martyr Sukias and his Sixteen Companions in Georgia,Suchias; Sukia; Sukhios; the Sukianians,Male,Martyr,Monastic,,,Persecution; Torture,Faith,,Georgia,Pan-Orthodox,Pre-Nicene,2nd,Apr 15,"Holy Martyr Sukias and companions, pray to God for us.",,,"Court dignitaries of Caucasian Albania who came to faith in Christ through the preaching of Chrysos, a disciple of the Apostle Thaddeus. Withdrawing to Mount Sukaketi as ascetics, they were martyred by fire (ca. 100-130) under the pagan ruler Datianos.",Named cluster commemorated together; Georgian and Armenian tradition. Numbered at sixteen companions.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; orthochristian.com"
OS-1000,Martyr Savva (Sabbas) the Goth of Wallachia,Sabbas the Goth; Savva the Goth,Male,Martyr,Layperson,,,Persecution,Faith,,Romania,Pan-Orthodox,Pre-Nicene,4th,Apr 15,"Holy Martyr Savva, pray to God for us.",,,"A Goth of the Buzau valley in what is now Romania, baptized as a Christian, known for his strict and temperate life. During the persecution of King Athanaric he refused to eat food sacrificed to idols and was drowned in the river Musaeus in 372.",Principal feast observed April 24 in the Eastern Orthodox calendar (April 12 in the West); OCA also commemorates him April 15.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1001,Saint Ephraim the Great of Atsquri,Eprem of Atsquri; Ephraim of Atsquri,Male,Hierarch; Wonderworker,Clergy - Bishop; Monastic,,,,Wisdom,Healing,Georgia,Georgian,Byzantine,9th,Apr 15,"Holy Hierarch Ephraim, pray to God for us.",,,"A disciple of Saint Grigol of Khandzta, he was consecrated bishop of Atsquri and administered the diocese for forty years. He labored for the autocephaly of the Georgian Church and was endowed with gifts of prophecy, wonderworking, and healing.",Principal feast observed April 28 in the Georgian Church; OCA commemorates him April 15.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1002,"Virgin-Martyrs Agape, Irene, and Chionia of Illyria",Agape; Irene; Chionia; Agape of Aquileia,Female,Martyr,Layperson,Single Adult,,,Purity,Protection from Danger,Greece,Pan-Orthodox,Pre-Nicene,4th,Apr 16,"Holy Virgin-Martyrs Agape, Irene, and Chionia, pray to God for us.",,,"Three Christian sisters of the Illyrian region who refused to renounce Christ or surrender the holy Scriptures during the persecution of Diocletian. Agape and Chionia were burned alive, and Irene was martyred shortly after.",One cluster commemoration of the three sisters martyred together (c. 304).,,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org"
OS-1003,Martyrs Leonidas and his Companions of Corinth,Leonidas; Chariessa; Nike; Galina; Kalista; Nunechia; Basilissa; Theodora; Irene,Male & Female,Martyr,Layperson,,,,Faith,Protection from Danger,Greece,Pan-Orthodox,Pre-Nicene,3rd,Apr 16,"Holy Martyrs Leonidas and companions, pray to God for us.",,,"A company of martyrs who suffered at Corinth in the year 258, cast into the sea for confessing Christ. According to tradition they walked upon the waters singing hymns before receiving their crowns.","One cluster commemoration: Leonidas with the women martyrs Chariessa, Nike, Galina, Kalista, Nunechia, Basilissa, Theodora, and Irene.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1004,Monastic-Martyr Christopher of Dionysiou,Christopher of Dionysiou,Male,Venerable-Martyr,Monastic,,,,,,Mt. Athos,Greek,Unknown,,Apr 16,"Holy Venerable-Martyr Christopher, pray to God for us.",,,A monk of the Monastery of Dionysiou on Mount Athos who suffered martyrdom for Christ. Details of his life are not preserved in the synaxarion.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1005,Hieromartyr Niketas,Niketas,Male,Hieromartyr,Clergy - Priest,,,,,,,Pan-Orthodox,Unknown,,Apr 16,"Holy Hieromartyr Niketas, pray to God for us.",,,A priest-martyr commemorated on this day; no further biographical details are preserved in the synaxarion.,,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
OS-1006,Symeon of Persia,Symeon bar Sabba'e; Simeon of Seleucia-Ctesiphon; Symeon the Hieromartyr; Abdechalas; Ananias; Usthazanes; Pusicius; Azad the Eunuch; the Martyrs with him,Male,Hieromartyr,Clergy - Bishop,,,Persecution; Torture,Courage; Faith,,Persia,Pan-Orthodox,Pre-Nicene,4th,Apr 17,"Holy Hieromartyr Symeon, pray to God for us.",,,"Symeon, bishop of Seleucia-Ctesiphon and head of the Church in Persia, was put to death together with a great company of clergy and faithful during the persecution of the Persian emperor Shapur II for refusing to deny Christ and worship the sun. A named cluster commemorated as one feast.","Commemorated together with his companion martyrs, including the priests Abdechalas (Abdella) and Ananias, the eunuch Azad, Usthazanes, and Pusicius, among many others martyred under Shapur II.",,,,,"OCA Synaxarion (oca.org), Lives of the Saints; en.wikipedia.org (Shemon bar Sabbae)"
OS-1007,Acacius of Melitene,"Akakios of Melitene; Acacius, Bishop of Melitene",Male,Hierarch,Clergy - Bishop,,,,Faith; Zeal,,Armenia,Greek,Byzantine,5th,Apr 17; Sep 15,"Holy Hierarch Acacius, pray to God for us.",,,"Acacius, bishop of Melitene in Armenia, was dedicated to God from childhood and ordained by his predecessor Otreius. He took part in the Third Ecumenical Council at Ephesus in 431, standing with St Cyril of Alexandria against the heresy of Nestorius, and reposed in peace.",Sep 15 = uncovering of his relics.,,,,,"OCA Synaxarion (oca.org), Lives of the Saints"
